STATE,POPULATION,PERCENT,teens,teensPercent,,,,,,,,,Rank
District of Columbia,14550,0.0277,149750,0.0073,,,,,,,,,0
Hawaii,8450,0.0078,2500,0.0077,,,,,,,,,1
California,218400,0.0076,350,0.007,,,,,,,,,2
Georgia,55650,0.0075,3650,0.0081,,,,,,,,,3
New Mexico,11750,0.0075,1450,0.0075,,,,,,,,,4
Florida,100300,0.0066,22200,0.0085,,,,,,,,,5
Texas,125350,0.0066,1800,0.0054,,,,,,,,,6
Oregon,19750,0.0065,950,0.0039,,,,,,,,,7
Delaware,4550,0.0064,400,0.0074,,,,,,,,,8
Oklahoma,18350,0.0064,300,0.0112,,,,,,,,,9
Tennessee,31200,0.0063,9050,0.0078,,,,,,,,,10
Arizona,30550,0.0062,4950,0.0071,,,,,,,,,11
Washington,32850,0.0062,850,0.0101,,,,,,,,,12
Alabama,22500,0.0061,700,0.0061,,,,,,,,,13
Mississippi,13650,0.0061,5700,0.0065,,,,,,,,,14
Nevada,12700,0.0061,3350,0.0074,,,,,,,,,15
Arkansas,13400,0.006,800,0.0039,,,,,,,,,16
Louisiana,20900,0.006,1300,0.0066,,,,,,,,,17
North Carolina,44750,0.006,1850,0.0065,,,,,,,,,18
Minnesota,24250,0.0059,2350,0.0076,,,,,,,,,19
Vermont,3000,0.0059,450,0.0055,,,,,,,,,20
United States of America,1397150,0.0058,2300,0.006,,,,,,,,,0
South Carolina,21000,0.0058,2150,0.0052,,,,,,,,,21
Massachusetts,29900,0.0057,3950,0.0059,,,,,,,,,22
Indiana,27600,0.0056,3000,0.0085,,,,,,,,,23
Virginia,34500,0.0055,1600,0.0077,,,,,,,,,24
Missouri,25050,0.0054,2500,0.0063,,,,,,,,,25
Colorado,20850,0.0053,300,0.0049,,,,,,,,,26
Kentucky,17700,0.0053,750,0.0062,,,,,,,,,27
Illinois,49750,0.0051,1300,0.0074,,,,,,,,,28
New York,78600,0.0051,450,0.0055,,,,,,,,,29
Rhode Island,4250,0.0051,3850,0.0065,,,,,,,,,30
Maine,5350,0.005,1200,0.0088,,,,,,,,,31
Alaska,2700,0.0049,9750,0.0079,,,,,,,,,32
Maryland,22300,0.0049,4650,0.0074,,,,,,,,,33
Ohio,39950,0.0045,200,0.0053,,,,,,,,,34
Connecticut,12400,0.0044,5900,0.0076,,,,,,,,,35
New Jersey,30100,0.0044,2100,0.0083,,,,,,,,,36
Pennsylvania,43800,0.0044,1700,0.007,,,,,,,,,37
Kansas,9300,0.0043,5250,0.0065,,,,,,,,,38
Michigan,32900,0.0043,400,0.0062,,,,,,,,,39
New Hampshire,4500,0.0043,2150,0.0073,,,,,,,,,40
Wisconsin,19150,0.0043,300,0.0057,,,,,,,,,41
West Virginia,6100,0.0042,3150,0.0074,,,,,,,,,42
Idaho,4750,0.0041,13800,0.0073,,,,,,,,,43
Nebraska,5400,0.0039,1400,0.0061,,,,,,,,,44
Utah,7200,0.0036,250,0.0071,,,,,,,,,45
Montana,2700,0.0034,4150,0.008,,,,,,,,,46
South Dakota,2150,0.0034,3100,0.007,,,,,,,,,47
Wyoming,1400,0.0032,1150,0.0104,,,,,,,,,48
Iowa,7400,0.0031,1850,0.005,,,,,,,,,49
North Dakota,1650,0.003,200,0.005,,,,,,,,,50
