STATE,POPULATION,PERCENT,teens,teensPercent,,,,,,,,,Rank
Oklahoma,18350,0.0064,300,0.0112,,,,,,,,,0
Wyoming,1400,0.0032,1150,0.0104,,,,,,,,,1
Washington,32850,0.0062,850,0.0101,,,,,,,,,2
Maine,5350,0.005,1200,0.0088,,,,,,,,,3
Florida,100300,0.0066,22200,0.0085,,,,,,,,,4
Indiana,27600,0.0056,3000,0.0085,,,,,,,,,5
New Jersey,30100,0.0044,2100,0.0083,,,,,,,,,6
Georgia,55650,0.0075,3650,0.0081,,,,,,,,,7
Montana,2700,0.0034,4150,0.008,,,,,,,,,8
Alaska,2700,0.0049,9750,0.0079,,,,,,,,,9
Tennessee,31200,0.0063,9050,0.0078,,,,,,,,,10
Hawaii,8450,0.0078,2500,0.0077,,,,,,,,,11
Virginia,34500,0.0055,1600,0.0077,,,,,,,,,12
Minnesota,24250,0.0059,2350,0.0076,,,,,,,,,13
Connecticut,12400,0.0044,5900,0.0076,,,,,,,,,14
New Mexico,11750,0.0075,1450,0.0075,,,,,,,,,15
Delaware,4550,0.0064,400,0.0074,,,,,,,,,16
Nevada,12700,0.0061,3350,0.0074,,,,,,,,,17
Illinois,49750,0.0051,1300,0.0074,,,,,,,,,18
Maryland,22300,0.0049,4650,0.0074,,,,,,,,,19
West Virginia,6100,0.0042,3150,0.0074,,,,,,,,,20
District of Columbia,14550,0.0277,149750,0.0073,,,,,,,,,0
New Hampshire,4500,0.0043,2150,0.0073,,,,,,,,,21
Idaho,4750,0.0041,13800,0.0073,,,,,,,,,22
Arizona,30550,0.0062,4950,0.0071,,,,,,,,,23
Utah,7200,0.0036,250,0.0071,,,,,,,,,24
California,218400,0.0076,350,0.007,,,,,,,,,25
Pennsylvania,43800,0.0044,1700,0.007,,,,,,,,,26
South Dakota,2150,0.0034,3100,0.007,,,,,,,,,27
Louisiana,20900,0.006,1300,0.0066,,,,,,,,,28
Mississippi,13650,0.0061,5700,0.0065,,,,,,,,,29
North Carolina,44750,0.006,1850,0.0065,,,,,,,,,30
Rhode Island,4250,0.0051,3850,0.0065,,,,,,,,,31
Kansas,9300,0.0043,5250,0.0065,,,,,,,,,32
Missouri,25050,0.0054,2500,0.0063,,,,,,,,,33
Kentucky,17700,0.0053,750,0.0062,,,,,,,,,34
Michigan,32900,0.0043,400,0.0062,,,,,,,,,35
Alabama,22500,0.0061,700,0.0061,,,,,,,,,36
Nebraska,5400,0.0039,1400,0.0061,,,,,,,,,37
United States of America,1397150,0.0058,2300,0.006,,,,,,,,,38
Massachusetts,29900,0.0057,3950,0.0059,,,,,,,,,39
Wisconsin,19150,0.0043,300,0.0057,,,,,,,,,40
Vermont,3000,0.0059,450,0.0055,,,,,,,,,41
New York,78600,0.0051,450,0.0055,,,,,,,,,42
Texas,125350,0.0066,1800,0.0054,,,,,,,,,43
Ohio,39950,0.0045,200,0.0053,,,,,,,,,44
South Carolina,21000,0.0058,2150,0.0052,,,,,,,,,45
Iowa,7400,0.0031,1850,0.005,,,,,,,,,46
North Dakota,1650,0.003,200,0.005,,,,,,,,,47
Colorado,20850,0.0053,300,0.0049,,,,,,,,,48
Oregon,19750,0.0065,950,0.0039,,,,,,,,,49
Arkansas,13400,0.006,800,0.0039,,,,,,,,,50
