State,13 to 17,,18 to 24,,25 to 64,,65 and order,,All Adults (age 18+),
,Number ,Percent,Number ,Percent,Number ,Percent,Number ,Percent,Number ,Percent
United States,"149,750",0.73%,"205,850",0.66%,"967,100",0.58%,"217,050",0.50%,"1,397,150",0.58%
Alabama,"2,500",0.77%,"3,250",0.67%,"15,450",0.61%,"3,700",0.53%,"22,500",0.61%
Alaska,350,0.70%,500,0.60%,"1,950",0.48%,250,0.42%,"2,700",0.49%
Arizona,"3,650",0.81%,"4,700",0.72%,"20,800",0.63%,"4,850",0.50%,"30,550",0.62%
Arkansas,"1,450",0.75%,"1,850",0.65%,"9,150",0.61%,"2,300",0.52%,"13,400",0.60%
California,"22,200",0.85%,"33,450",0.84%,"154,750",0.77%,"29,050",0.63%,"218,400",0.76%
Colorado,"1,800",0.54%,"3,200",0.63%,"14,900",0.53%,"2,750",0.45%,"20,850",0.53%
Connecticut,950,0.39%,"1,750",0.52%,"8,450",0.44%,"2,100",0.40%,"12,400",0.44%
Delaware,400,0.74%,700,0.73%,"3,050",0.64%,800,0.55%,"4,550",0.64%
District of Columbia,300,1.12%,"2,600",3.14%,"9,900",2.66%,"1,950",2.72%,"14,550",2.77%
Florida,"9,050",0.78%,"13,450",0.75%,"66,750",0.67%,"19,350",0.55%,"100,300",0.66%
Georgia,"4,950",0.71%,"8,700",0.86%,"39,500",0.75%,"7,450",0.66%,"55,650",0.75%
Hawaii,850,1.01%,"1,200",0.89%,"5,700",0.77%,"1,550",0.72%,"8,450",0.78%
Idaho,700,0.61%,750,0.47%,"3,250",0.41%,750,0.35%,"4,750",0.41%
Illinois,"5,700",0.65%,"7,150",0.57%,"34,500",0.50%,"7,750",0.46%,"49,750",0.51%
Indiana,"3,350",0.74%,"4,100",0.62%,"18,950",0.56%,"4,450",0.50%,"27,600",0.56%
Iowa,800,0.39%,"1,100",0.35%,"4,900",0.31%,"1,350",0.29%,"7,400",0.31%
Kansas,"1,300",0.66%,"1,500",0.49%,"6,300",0.43%,"1,500",0.38%,"9,300",0.43%
Kentucky,"1,850",0.65%,"2,400",0.57%,"12,200",0.52%,"3,000",0.49%,"17,700",0.53%
Louisiana,"2,350",0.76%,"3,150",0.66%,"14,550",0.60%,"3,100",0.52%,"20,900",0.60%
Maine,450,0.55%,650,0.56%,"3,650",0.50%,"1,050",0.45%,"5,350",0.50%
Maryland,"2,300",0.60%,"3,200",0.57%,"15,650",0.49%,"3,300",0.43%,"22,300",0.49%
Massachusetts,"2,150",0.52%,"4,550",0.66%,"20,150",0.56%,"5,050",0.53%,"29,900",0.57%
Michigan,"3,950",0.59%,"4,800",0.48%,"22,400",0.43%,"5,600",0.39%,"32,900",0.43%
Minnesota,"3,000",0.85%,"3,450",0.69%,"16,750",0.58%,"3,950",0.54%,"24,250",0.59%
Mississippi,"1,600",0.77%,"2,100",0.66%,"9,400",0.62%,"2,150",0.53%,"13,650",0.61%
Missouri,"2,500",0.63%,"3,600",0.60%,"17,000",0.54%,"4,400",0.50%,"25,050",0.54%
Montana,300,0.49%,400,0.40%,"1,800",0.34%,450,0.30%,"2,700",0.34%
Nebraska,750,0.62%,800,0.44%,"3,650",0.39%,900,0.35%,"5,400",0.39%
