,"White, non-Hispanic",,"African-American or Black, non-Hispanic",,Hispanic or Latino,,"Other Race or Ethnicity, non-Hispanic",
State,Population,Percentage,Population,Percentage,Population,Percentage,Population,Percentage
United States of America,"761,150",0.48%,"217,800",0.77%,"296,950",0.84%,"115,950",0.64%
Alabama,"13,550",0.53%,"7,300",0.78%,"1,000",0.82%,650,0.63%
Alaska,"1,550",0.42%,100,0.62%,150,0.58%,850,0.66%
Arizona,"15,450",0.50%,"1,400",0.75%,"10,700",0.84%,"2,900",0.72%
Arkansas,"9,350",0.54%,"2,550",0.78%,"1,000",0.85%,500,0.67%
California,"70,200",0.56%,"14,500",0.87%,"97,100",1.00%,"35,850",0.73%
Colorado,"13,050",0.45%,"1,050",0.71%,"5,450",0.77%,"1,300",0.62%
Connecticut,"7,800",0.38%,"1,600",0.62%,"2,200",0.64%,700,0.46%
Delaware,"2,700",0.56%,"1,200",0.83%,450,0.87%,200,0.61%
District of Columbia,"3,150",1.56%,"9,000",3.71%,"1,600",3.35%,800,2.48%
Florida,"50,300",0.55%,"18,650",0.86%,"26,250",0.78%,"4,300",0.68%
Georgia,"27,100",0.63%,"20,050",0.92%,"5,750",1.02%,"2,750",0.74%
Hawaii,"1,600",0.58%,150,0.83%,750,0.88%,"5,950",0.85%
Idaho,"3,800",0.38%,50,0.51%,700,0.62%,250,0.51%
Illinois,"27,800",0.43%,"8,900",0.66%,"9,700",0.71%,"2,950",0.48%
Indiana,"21,500",0.52%,"3,150",0.75%,"1,950",0.78%,950,0.61%
Iowa,"6,350",0.30%,250,0.44%,450,0.48%,300,0.37%
Kansas,"6,800",0.39%,700,0.59%,"1,250",0.64%,550,0.51%
Kentucky,"14,850",0.50%,"1,750",0.70%,600,0.71%,450,0.57%
Louisiana,"10,950",0.51%,"8,050",0.77%,"1,050",0.72%,750,0.65%
Maine,"5,000",0.49%,50,0.76%,50,0.65%,200,0.66%
Maryland,"10,300",0.40%,"7,900",0.62%,"2,300",0.66%,"1,700",0.48
Massachusetts,"20,700",0.51%,"2,550",0.81%,"3,800",0.83%,"2,650",0.66
Michigan,"23,650",0.40%,"5,900",0.59%,"1,650",0.58%,"1,650",0.47%
Minnesota,"19,200",0.55%,"1,650",0.87%,"1,450",0.91%,"1,900",0.75%
Mississippi,"6,950",0.51%,"6,000",0.75%,450,0.77%,300,0.66%
Missouri,"19,350",0.51%,"3,650",0.73%,"1,050",0.74%,"1,050",0.61%
Montana,"2,250",0.32%,"<""50",0.43%,100,0.47%,300,0.47%
Nebraska,"4,150",0.35%,300,0.53%,650,0.62%,250,0.49%
Nevada,"5,950",0.50%,"1,200",0.74%,"3,900",0.81%,"1,550",0.63%
New Hampshire,"4,050",0.42%,50,0.64%,150,0.60%,200,0.52%
New Jersey,"15,350",0.37%,"4,950",0.58%,"7,000",0.60%,"2,800",0.40%
New Mexico,"3,850",0.55%,250,0.83%,"6,100",0.91%,"1,500",0.87%
New York,"38,200",0.42%,"14,150",0.66%,"17,300",0.68%,"8,500",0.56
North Carolina,"26,000",0.51%,"11,950",0.78%,"4,500",0.86%,"2,350",0.67
North Dakota,"1,450",0.29%,50,0.43%,50,0.43%,150,0.4
Ohio,"30,850",0.42%,"6,200",0.61%,"1,400",0.60%,"1,400",0.48
Oklahoma,"11,800",0.57%,"1,600",0.80%,"1,950",0.91%,"2,950",0.75
Oregon,"14,600",0.59%,450,0.87%,"2,850",0.98%,"1,850",0.78
Pennsylvania,"32,650",0.40%,"5,950",0.60%,"3,100",0.61%,"1,900",0.48
Rhode Island,"3,000",0.46%,250,0.70%,650,0.73%,300,0.62
South Carolina,"11,800",0.49%,"7,200",0.75%,"1,200",0.76%,650,0.64
South Dakota,"1,750",0.32%,50,0.53%,100,0.49%,300,0.47
Tennessee,"22,000",0.57%,"6,350",0.81%,"1,650",0.87%,"1,000",0.68
Texas,"46,500",0.50%,"16,800",0.76%,"54,650",0.84%,"6,550",0.6
Utah,"5,350",0.33%,100,0.50%,"1,250",0.54%,500,0.45
Vermont,"2,800",0.59%,50,0.82%,50,0.74%,100,0.74
Virginia,"19,700",0.47%,"8,600",0.74%,"3,400",0.73%,"2,700",0.55
Washington,"22,050",0.55%,"1,500",0.83%,"4,500",0.92%,"4,700",0.72
West Virginia,"5,600",0.41%,250,0.55%,100,0.51%,150,0.47
Wisconsin,"15,350",0.41%,"1,500",0.64%,"1,350",0.63%,950,0.53
Wyoming,"1,150",0.31%,"<""50",0.44%,150,0.45%,50,0.4
