,"White, non-Hispanic",,"African-American or Black, non-Hispanic",,Hispanic or Latino,,"Other Race or Ethnicity, non-Hispanic",
State,"AdultGeneralPopulation","Transgender-IdentifiedAdults","AdultGeneralPopulation","Transgender-IdentifiedAdults","AdultGeneralPopulation","Transgender-IdentifiedAdults","AdultGeneralPopulation","Transgender-IdentifiedAdults"
United States of America,66%,55%,12%,16%,15%,21%,8%,8
Alabama,69%,60%,25%,32%,3%,4%,3%,3
Alaska,67%,57%,3%,4%,5%,6%,24%,32%
Arizona,62%,51%,4%,5%,26%,35%,8%,9%
Arkansas,77%,70%,14%,19%,5%,8%,3%,4%
California,43%,32%,6%,7%,34%,45%,17%,16%
Colorado,73%,62%,4%,5%,18%,26%,5%,6%
Connecticut,73%,63%,9%,13%,12%,18%,6%,6%
Delaware,68%,59%,20%,26%,7%,10%,5%,5%
District of Columbia,39%,22%,46%,62%,9%,11%,6%,5%
Florida,60%,50%,14%,19%,22%,26%,4%,4%
Georgia,58%,48%,29%,36%,8%,10%,5%,5%
Hawaii,26%,19%,2%,2%,8%,9%,65%,70%
Idaho,86%,80%,<1%,1%,9%,14%,4%,5%
Illinois,66%,56%,14%,18%,14%,20%,6%,6%
Indiana,83%,78%,8%,11%,5%,7%,3%,3%
Iowa,90%,86%,3%,4%,4%,6%,3%,4%
Kansas,81%,73%,5%,7%,9%,13%,5%,6%
Kentucky,88%,84%,8%,10%,3%,3%,2%,3
Louisiana,62%,52%,30%,39%,4%,5%,3%,4
Maine,95%,94%,1%,1%,1%,1%,3%,4
Maryland,56%,46%,28%,35%,8%,10%,8%,8
Massachusetts,78%,70%,6%,9%,9%,13%,8%,9
Michigan,79%,72%,13%,18%,4%,5%,5%,5%
Minnesota,85%,79%,5%,7%,4%,6%,6%,8%
Mississippi,60%,50%,35%,44%,2%,3%,2%,2%
Missouri,83%,77%,11%,15%,3%,4%,4%,4%
Montana,89%,85%,<1%,<1%,3%,4%,8%,11%
Nebraska,84%,77%,4%,6%,8%,12%,4%,5%
Nevada,57%,47%,8%,10%,23%,31%,12%,12%
"NewHampshire",93%,91%,1%,1%,2%,3%,4%,4%
New Jersey,60%,51%,12%,16%,17%,23%,10%,9%
New Mexico,44%,33%,2%,2%,43%,52%,11%,13%
New York,59%,49%,14%,18%,17%,22%,10%,11%
North Carolina,68%,58%,21%,27%,7%,10%,5%,5%
North Dakota,90%,86%,1%,2%,2%,3%,7%,9%
Ohio,83%,77%,11%,16%,3%,4%,3%,4%
Oklahoma,72%,64%,7%,9%,7%,11%,14%,16%
Oregon,81%,74%,2%,2%,10%,14%,8%,9%
Pennsylvania,81%,75%,10%,14%,5%,7%,4%,4%
Rhode Island,79%,71%,5%,6%,11%,16%,6%,7%
South Carolina,67%,56%,26%,35%,4%,6%,3%,3%
South Dakota,87%,81%,1%,2%,3%,4%,10%,13%
Tennessee,77%,71%,16%,21%,4%,5%,3%,3%
Texas,49%,37%,12%,13%,34%,44%,6%,5%
Utah,82%,75%,1%,1%,12%,17%,5%,7%
Vermont,95%,93%,1%,1%,1%,2%,3%,4%
Virginia,66%,57%,19%,25%,7%,10%,8%,8%
Washington,75%,67%,3%,5%,9%,14%,12%,14%
West Virginia,94%,92%,3%,4%,1%,1%,2%,2%
Wisconsin,86%,80%,5%,8%,5%,7%,4%,5%
Wyoming,87%,82%,1%,1%,8%,11%,4%,5%
,,,,,,,,
,,,,,,,,
State,Population,Percentage,Population,Percentage,Population,Percentage,Population,Percentage
United States,"761,150",0.48%,"217,800",0.77%,"296,950",0.84%,"115,950",0.64%
of America,,,,,,,,
,,,,,,,,
Alabama,"13,550",0.53%,"7,300",0.78%,"1,000",0.82%,650,0.63%
Alaska,"1,550",0.42%,100,0.62%,150,0.58%,850,0.66%
Arizona,"15,450",0.50%,"1,400",0.75%,"10,700",0.84%,"2,900",0.72%
Arkansas,"9,350",0.54%,"2,550",0.78%,"1,000",0.85%,500,0.67%
California,"70,200",0.56%,"14,500",0.87%,"97,100",1.00%,"35,850",0.73%
Colorado,"13,050",0.45%,"1,050",0.71%,"5,450",0.77%,"1,300",0.62%
Connecticut,"7,800",0.38%,"1,600",0.62%,"2,200",0.64%,700,0.46%
Delaware,"2,700",0.56%,"1,200",0.83%,450,0.87%,200,0.61%
District of Columbia,"3,150",1.56%,"9,000",3.71%,"1,600",3.35%,800,2.48%
Florida,"50,300",0.55%,"18,650",0.86%,"26,250",0.78%,"4,300",0.68%
Georgia,"27,100",0.63%,"20,050",0.92%,"5,750",1.02%,"2,750",0.74%
Hawaii,"1,600",0.58%,150,0.83%,750,0.88%,"5,950",0.85%
Idaho,"3,800",0.38%,50,0.51%,700,0.62%,250,0.51%
Illinois,"27,800",0.43%,"8,900",0.66%,"9,700",0.71%,"2,950",0.48%
Indiana,"21,500",0.52%,"3,150",0.75%,"1,950",0.78%,950,0.61%
Iowa,"6,350",0.30%,250,0.44%,450,0.48%,300,0.37%
Kansas,"6,800",0.39%,700,0.59%,"1,250",0.64%,550,0.51%
Kentucky,"14,850",0.50%,"1,750",0.70%,600,0.71%,450,0.57%
Louisiana,"10,950",0.51%,"8,050",0.77%,"1,050",0.72%,750,0.65%
Maine,"5,000",0.49%,50,0.76%,50,0.65%,200,0.66%
Maryland,"10,300",0.40%,"7,900",0.62%,"2,300",0.66%,"1,700",0.48
Massachusetts,"20,700",0.51%,"2,550",0.81%,"3,800",0.83%,"2,650",0.66
Michigan,"23,650",0.40%,"5,900",0.59%,"1,650",0.58%,"1,650",0.47%
Minnesota,"19,200",0.55%,"1,650",0.87%,"1,450",0.91%,"1,900",0.75%
Mississippi,"6,950",0.51%,"6,000",0.75%,450,0.77%,300,0.66%
Missouri,"19,350",0.51%,"3,650",0.73%,"1,050",0.74%,"1,050",0.61%
Montana,"2,250",0.32%,"<""50",0.43%,100,0.47%,300,0.47%
Nebraska,"4,150",0.35%,300,0.53%,650,0.62%,250,0.49%
Nevada,"5,950",0.50%,"1,200",0.74%,"3,900",0.81%,"1,550",0.63%
New Hampshire,"4,050",0.42%,50,0.64%,150,0.60%,200,0.52%
New Jersey,"15,350",0.37%,"4,950",0.58%,"7,000",0.60%,"2,800",0.40%
New Mexico,"3,850",0.55%,250,0.83%,"6,100",0.91%,"1,500",0.87%
New York,"38,200",0.42%,"14,150",0.66%,"17,300",0.68%,"8,500",0.56
North Carolina,"26,000",0.51%,"11,950",0.78%,"4,500",0.86%,"2,350",0.67
North Dakota,"1,450",0.29%,50,0.43%,50,0.43%,150,0.4
Ohio,"30,850",0.42%,"6,200",0.61%,"1,400",0.60%,"1,400",0.48
Oklahoma,"11,800",0.57%,"1,600",0.80%,"1,950",0.91%,"2,950",0.75
Oregon,"14,600",0.59%,450,0.87%,"2,850",0.98%,"1,850",0.78
Pennsylvania,"32,650",0.40%,"5,950",0.60%,"3,100",0.61%,"1,900",0.48
Rhode Island,"3,000",0.46%,250,0.70%,650,0.73%,300,0.62
South Carolina,"11,800",0.49%,"7,200",0.75%,"1,200",0.76%,650,0.64
South Dakota,"1,750",0.32%,50,0.53%,100,0.49%,300,0.47
Tennessee,"22,000",0.57%,"6,350",0.81%,"1,650",0.87%,"1,000",0.68
Texas,"46,500",0.50%,"16,800",0.76%,"54,650",0.84%,"6,550",0.6
Utah,"5,350",0.33%,100,0.50%,"1,250",0.54%,500,0.45
Vermont,"2,800",0.59%,50,0.82%,50,0.74%,100,0.74
Virginia,"19,700",0.47%,"8,600",0.74%,"3,400",0.73%,"2,700",0.55
Washington,"22,050",0.55%,"1,500",0.83%,"4,500",0.92%,"4,700",0.72
West Virginia,"5,600",0.41%,250,0.55%,100,0.51%,150,0.47
Wisconsin,"15,350",0.41%,"1,500",0.64%,"1,350",0.63%,950,0.53
Wyoming,"1,150",0.31%,"<""50",0.44%,150,0.45%,50,0.4
